Sales Person,Country,Product,Date,Amount,Boxes Shipped,Discount,Priority for shipping,,Unique Name ,Total sales Per name ,Unique Product,,Average per Product
Beverie Moffet,New Zealand,Smooth Sliky Salty,19-May-22,"$2,387 ",59,119.35,needs Shipping,,,,,,
Husein Augar,USA,White Choc,13-Jul-22,"$2,030 ",60,162.4,needs Shipping,,,,,,
Andria Kimpton,Australia,Peanut Butter Cubes,20-Apr-22,"$6,678 ",148,333.9,needs Shipping,,,,,,
Dennison Crosswaite,India,85% Dark Bars,30-Jun-22,"$4,515 ",22,225.75,Delay Shipping,,,,,,
Curtice Advani,UK,50% Dark Bites,8-Mar-22,"$3,374 ",142,168.7,needs Shipping,,,,,,
Gunar Cockshoot,USA,Fruit & Nut Bars,9-Mar-22,"$5,852 ",93,468.16,needs Shipping,,,,,,
Oby Sorrel,Canada,Raspberry Choco,16-Jun-22,"$1,750 ",208,87.5,needs Shipping,,,,,,
Gigi Bohling,UK,Drinking Coco,30-Jun-22,"$5,782 ",42,289.1,Delay Shipping,,,,,,
Kelci Walkden,India,Mint Chip Choco,28-Jul-22,"$2,870 ",120,143.5,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Peanut Butter Cubes,12-Aug-22,"$3,094 ",159,154.7,needs Shipping,,,,,,
Barr Faughny,UK,Mint Chip Choco,7-Jul-22,"$3,724 ",316,186.2,needs Shipping,,,,,,
Barr Faughny,USA,85% Dark Bars,25-Aug-22,"$12,761 ",47,1020.88,Delay Shipping,,,,,,
Husein Augar,Canada,Eclairs,17-Jan-22,"$3,696 ",233,184.8,needs Shipping,,,,,,
Jan Morforth,Australia,70% Dark Bites,4-Mar-22,"$5,222 ",384,261.1,needs Shipping,,,,,,
Marney O'Breen,New Zealand,Fruit & Nut Bars,25-Aug-22,"$8,939 ",4,446.95,Delay Shipping,,,,,,
Ches Bonnell,UK,Peanut Butter Cubes,15-Apr-22,"$2,156 ",260,107.8,needs Shipping,,,,,,
Kaine Padly,USA,Organic Choco Syrup,11-Mar-22,"$2,380 ",22,190.4,Delay Shipping,,,,,,
Camilla Castle,USA,Raspberry Choco,20-May-22,"$3,339 ",18,267.12,Delay Shipping,,,,,,
Brien Boise,New Zealand,Manuka Honey Choco,14-Jun-22,"$14,980 ",42,749,Delay Shipping,,,,,,
Jehu Rudeforth,New Zealand,After Nines,14-Apr-22,"$1,512 ",73,75.6,needs Shipping,,,,,,
Jehu Rudeforth,USA,Smooth Sliky Salty,7-Jul-22,"$6,657 ",154,532.56,needs Shipping,,,,,,
Madelene Upcott,India,Mint Chip Choco,24-Aug-22,"$3,836 ",71,191.8,needs Shipping,,,,,,
Jehu Rudeforth,India,Eclairs,24-Feb-22,"$8,771 ",127,438.55,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Raspberry Choco,9-May-22,$651 ,224,32.55,needs Shipping,,,,,,
Kaine Padly,Australia,70% Dark Bites,8-Feb-22,"$6,706 ",223,335.3,needs Shipping,,,,,,
Roddy Speechley,UK,70% Dark Bites,24-Mar-22,"$1,421 ",284,71.05,needs Shipping,,,,,,
Rafaelita Blaksland,USA,Drinking Coco,20-Jun-22,"$8,526 ",73,682.08,needs Shipping,,,,,,
Mallorie Waber,Canada,Manuka Honey Choco,7-Mar-22,"$1,435 ",112,71.75,needs Shipping,,,,,,
Kaine Padly,Australia,Fruit & Nut Bars,20-Jun-22,"$7,434 ",85,371.7,needs Shipping,,,,,,
Oby Sorrel,New Zealand,Organic Choco Syrup,17-Feb-22,"$15,316 ",270,765.8,needs Shipping,,,,,,
Madelene Upcott,UK,99% Dark & Pure,26-Jan-22,"$10,479 ",45,523.95,Delay Shipping,,,,,,
Madelene Upcott,Australia,Mint Chip Choco,2-May-22,"$2,751 ",153,137.55,needs Shipping,,,,,,
Curtice Advani,Canada,99% Dark & Pure,7-Jul-22,"$12,586 ",7,629.3,Delay Shipping,,,,,,
Rafaelita Blaksland,Australia,Baker's Choco Chips,22-Aug-22,"$2,786 ",51,139.3,needs Shipping,,,,,,
Karlen McCaffrey,Australia,After Nines,11-Aug-22,"$2,303 ",67,115.15,needs Shipping,,,,,,
Marney O'Breen,UK,99% Dark & Pure,13-Jan-22,"$8,113 ",194,405.65,needs Shipping,,,,,,
Gunar Cockshoot,Australia,50% Dark Bites,2-Mar-22,"$12,271 ",116,613.55,needs Shipping,,,,,,
Marney O'Breen,Australia,Choco Coated Almonds,27-Jul-22,"$11,298 ",41,564.9,Delay Shipping,,,,,,
Kelci Walkden,New Zealand,Drinking Coco,10-Mar-22,"$15,855 ",111,792.75,needs Shipping,,,,,,
Beverie Moffet,USA,85% Dark Bars,23-Aug-22,"$12,404 ",334,992.32,needs Shipping,,,,,,
Roddy Speechley,USA,Eclairs,25-Apr-22,"$3,990 ",155,319.2,needs Shipping,,,,,,
Dennison Crosswaite,UK,Milk Bars,7-Mar-22,"$10,808 ",407,540.4,needs Shipping,,,,,,
Wilone O'Kielt,UK,Organic Choco Syrup,12-Jul-22,"$4,858 ",52,242.9,needs Shipping,,,,,,
Madelene Upcott,USA,Orange Choco,16-May-22,"$7,742 ",138,619.36,needs Shipping,,,,,,
Gunar Cockshoot,India,Smooth Sliky Salty,2-Mar-22,"$3,752 ",70,187.6,needs Shipping,,,,,,
Marney O'Breen,New Zealand,85% Dark Bars,30-May-22,"$1,218 ",149,60.9,needs Shipping,,,,,,
Marney O'Breen,UK,Manuka Honey Choco,10-Jun-22,"$10,983 ",179,549.15,needs Shipping,,,,,,
Brien Boise,USA,99% Dark & Pure,25-Jul-22,"$6,769 ",353,541.52,needs Shipping,,,,,,
Beverie Moffet,New Zealand,Mint Chip Choco,9-Jun-22,"$4,361 ",97,218.05,needs Shipping,,,,,,
Dennison Crosswaite,USA,Milk Bars,12-May-22,$777 ,60,62.16,needs Shipping,,,,,,
Gunar Cockshoot,USA,Drinking Coco,9-May-22,"$3,843 ",5,307.44,Delay Shipping,,,,,,
Brien Boise,Canada,Manuka Honey Choco,9-Aug-22,"$6,930 ",182,346.5,needs Shipping,,,,,,
Van Tuxwell,India,Choco Coated Almonds,13-Apr-22,"$5,733 ",114,286.65,needs Shipping,,,,,,
Andria Kimpton,USA,Caramel Stuffed Bars,2-May-22,"$8,393 ",46,671.44,Delay Shipping,,,,,,
Dotty Strutley,USA,99% Dark & Pure,9-Aug-22,"$3,822 ",320,305.76,needs Shipping,,,,,,
Camilla Castle,Australia,Raspberry Choco,23-Aug-22,"$6,342 ",178,317.1,needs Shipping,,,,,,
Gunar Cockshoot,India,Spicy Special Slims,13-May-22,"$6,510 ",170,325.5,needs Shipping,,,,,,
Karlen McCaffrey,USA,Manuka Honey Choco,1-Feb-22,"$10,171 ",67,813.68,needs Shipping,,,,,,
Camilla Castle,USA,50% Dark Bites,23-Jun-22,"$5,908 ",301,472.64,needs Shipping,,,,,,
Madelene Upcott,UK,Choco Coated Almonds,24-May-22,"$10,164 ",134,508.2,needs Shipping,,,,,,
Jan Morforth,Canada,Mint Chip Choco,1-Apr-22,"$1,064 ",211,53.2,needs Shipping,,,,,,
Camilla Castle,Canada,70% Dark Bites,27-Jul-22,"$9,716 ",151,485.8,needs Shipping,,,,,,
Ches Bonnell,India,Peanut Butter Cubes,27-Jan-22,"$22,050 ",208,1102.5,needs Shipping,,,,,,
Jan Morforth,India,Choco Coated Almonds,12-Aug-22,"$2,541 ",134,127.05,needs Shipping,,,,,,
Gigi Bohling,Canada,Almond Choco,1-Feb-22,"$9,989 ",49,499.45,Delay Shipping,,,,,,
Rafaelita Blaksland,India,After Nines,2-Mar-22,"$4,739 ",204,236.95,needs Shipping,,,,,,
Kelci Walkden,Australia,99% Dark & Pure,30-Jun-22,"$3,185 ",34,159.25,Delay Shipping,,,,,,
Dotty Strutley,Australia,Spicy Special Slims,17-Jan-22,"$8,225 ",91,411.25,needs Shipping,,,,,,
Brien Boise,USA,Milk Bars,7-Jul-22,"$14,301 ",130,1144.08,needs Shipping,,,,,,
Mallorie Waber,New Zealand,Mint Chip Choco,31-Jan-22,"$1,316 ",107,65.8,needs Shipping,,,,,,
Beverie Moffet,UK,99% Dark & Pure,10-Aug-22,"$3,486 ",121,174.3,needs Shipping,,,,,,
Beverie Moffet,USA,Peanut Butter Cubes,18-Aug-22,"$13,930 ",339,1114.4,needs Shipping,,,,,,
Brien Boise,New Zealand,White Choc,15-Jun-22,"$5,509 ",321,275.45,needs Shipping,,,,,,
Marney O'Breen,USA,Baker's Choco Chips,26-Jan-22,"$8,470 ",9,677.6,Delay Shipping,,,,,,
Kelci Walkden,USA,Spicy Special Slims,29-Apr-22,$77 ,69,6.16,needs Shipping,,,,,,
Mallorie Waber,Canada,White Choc,3-Mar-22,"$3,381 ",72,169.05,needs Shipping,,,,,,
Kaine Padly,Australia,Almond Choco,22-Feb-22,"$4,102 ",392,205.1,needs Shipping,,,,,,
Oby Sorrel,USA,Smooth Sliky Salty,4-Mar-22,"$3,577 ",158,286.16,needs Shipping,,,,,,
Dennison Crosswaite,India,Smooth Sliky Salty,7-Jul-22,"$2,975 ",9,148.75,Delay Shipping,,,,,,
Camilla Castle,New Zealand,Caramel Stuffed Bars,17-Jun-22,"$4,137 ",347,206.85,needs Shipping,,,,,,
Jan Morforth,Canada,Caramel Stuffed Bars,2-Aug-22,"$9,541 ",114,477.05,needs Shipping,,,,,,
Oby Sorrel,USA,Baker's Choco Chips,12-Aug-22,"$8,001 ",120,640.08,needs Shipping,,,,,,
Madelene Upcott,New Zealand,Peanut Butter Cubes,28-Jan-22,"$5,152 ",333,257.6,needs Shipping,,,,,,
Kelci Walkden,Australia,Orange Choco,29-Apr-22,"$11,116 ",432,555.8,needs Shipping,,,,,,
Marney O'Breen,Australia,Manuka Honey Choco,5-Apr-22,"$13,076 ",236,653.8,needs Shipping,,,,,,
Kaine Padly,Canada,Manuka Honey Choco,18-Jan-22,"$10,213 ",135,510.65,needs Shipping,,,,,,
Jehu Rudeforth,UK,Baker's Choco Chips,16-May-22,"$2,485 ",97,124.25,needs Shipping,,,,,,
Kelci Walkden,Australia,White Choc,24-Aug-22,"$8,715 ",168,435.75,needs Shipping,,,,,,
Curtice Advani,India,85% Dark Bars,18-Jan-22,$273 ,402,13.65,needs Shipping,,,,,,
Kaine Padly,USA,Eclairs,22-Aug-22,"$7,623 ",10,609.84,Delay Shipping,,,,,,
Gunar Cockshoot,UK,99% Dark & Pure,7-Mar-22,$7 ,84,0.35,needs Shipping,,,,,,
Beverie Moffet,UK,Choco Coated Almonds,4-Mar-22,"$3,010 ",69,150.5,needs Shipping,,,,,,
Dotty Strutley,Canada,Manuka Honey Choco,22-Apr-22,"$11,550 ",111,577.5,needs Shipping,,,,,,
Kaine Padly,Australia,Milk Bars,9-Jun-22,"$4,046 ",89,202.3,needs Shipping,,,,,,
Jan Morforth,Canada,Fruit & Nut Bars,25-Jul-22,"$8,904 ",199,445.2,needs Shipping,,,,,,
Jan Morforth,India,Smooth Sliky Salty,3-Aug-22,"$11,298 ",89,564.9,needs Shipping,,,,,,
Rafaelita Blaksland,Australia,Manuka Honey Choco,3-Aug-22,"$4,396 ",131,219.8,needs Shipping,,,,,,
Jehu Rudeforth,UK,Milk Bars,3-May-22,"$12,068 ",227,603.4,needs Shipping,,,,,,
Husein Augar,Canada,After Nines,19-Jan-22,"$9,772 ",301,488.6,needs Shipping,,,,,,
Roddy Speechley,USA,50% Dark Bites,11-Feb-22,"$10,458 ",316,836.64,needs Shipping,,,,,,
Van Tuxwell,India,Almond Choco,14-Jun-22,"$6,426 ",390,321.3,needs Shipping,,,,,,
Kelci Walkden,USA,50% Dark Bites,23-Mar-22,"$6,188 ",223,495.04,needs Shipping,,,,,,
Madelene Upcott,Canada,85% Dark Bars,17-Feb-22,"$7,504 ",101,375.2,needs Shipping,,,,,,
Dennison Crosswaite,Canada,Smooth Sliky Salty,17-Mar-22,"$1,750 ",479,87.5,needs Shipping,,,,,,
Mallorie Waber,Australia,Spicy Special Slims,29-Jun-22,"$5,439 ",287,271.95,needs Shipping,,,,,,
Ches Bonnell,Canada,Choco Coated Almonds,24-Aug-22,"$15,547 ",269,777.35,needs Shipping,,,,,,
Gigi Bohling,Canada,Spicy Special Slims,4-Jul-22,"$11,956 ",277,597.8,needs Shipping,,,,,,
Roddy Speechley,New Zealand,Almond Choco,28-Mar-22,"$2,723 ",67,136.15,needs Shipping,,,,,,
Curtice Advani,India,Smooth Sliky Salty,19-Apr-22,"$19,327 ",135,966.35,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Mint Chip Choco,18-Jan-22,"$9,058 ",229,452.9,needs Shipping,,,,,,
Van Tuxwell,New Zealand,Fruit & Nut Bars,17-Jan-22,"$2,996 ",88,149.8,needs Shipping,,,,,,
Andria Kimpton,New Zealand,Mint Chip Choco,15-Feb-22,"$8,848 ",211,442.4,needs Shipping,,,,,,
Andria Kimpton,UK,Milk Bars,11-Feb-22,"$14,336 ",293,716.8,needs Shipping,,,,,,
Camilla Castle,USA,Manuka Honey Choco,21-Mar-22,"$16,401 ",179,1312.08,needs Shipping,,,,,,
Gunar Cockshoot,New Zealand,Almond Choco,5-Jan-22,"$5,173 ",129,258.65,needs Shipping,,,,,,
Brien Boise,India,Raspberry Choco,30-May-22,"$6,328 ",164,316.4,needs Shipping,,,,,,
Jehu Rudeforth,USA,99% Dark & Pure,4-Jan-22,"$2,534 ",219,202.72,needs Shipping,,,,,,
Beverie Moffet,Australia,Fruit & Nut Bars,22-Apr-22,"$1,435 ",258,71.75,needs Shipping,,,,,,
Gigi Bohling,Canada,Milk Bars,10-Feb-22,"$3,052 ",116,152.6,needs Shipping,,,,,,
Dotty Strutley,India,Spicy Special Slims,12-Aug-22,$910 ,204,45.5,needs Shipping,,,,,,
Gunar Cockshoot,USA,Organic Choco Syrup,10-Aug-22,"$2,331 ",321,186.48,needs Shipping,,,,,,
Kelci Walkden,Australia,Raspberry Choco,7-Jun-22,$679 ,56,33.95,needs Shipping,,,,,,
Jehu Rudeforth,India,Baker's Choco Chips,6-Jun-22,"$2,086 ",74,104.3,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5-Apr-22,"$5,012 ",189,250.6,needs Shipping,,,,,,
Wilone O'Kielt,USA,50% Dark Bites,18-Apr-22,"$4,501 ",131,360.08,needs Shipping,,,,,,
Andria Kimpton,India,50% Dark Bites,31-Jan-22,"$13,482 ",15,674.1,Delay Shipping,,,,,,
Madelene Upcott,USA,Baker's Choco Chips,22-Aug-22,"$5,621 ",140,449.68,needs Shipping,,,,,,
Jehu Rudeforth,Australia,99% Dark & Pure,25-Feb-22,"$10,486 ",198,524.3,needs Shipping,,,,,,
Jan Morforth,Australia,Mint Chip Choco,22-Feb-22,"$17,626 ",103,881.3,needs Shipping,,,,,,
Oby Sorrel,New Zealand,Milk Bars,12-Jan-22,"$4,494 ",187,224.7,needs Shipping,,,,,,
Brien Boise,UK,Almond Choco,25-May-22,$105 ,125,5.25,needs Shipping,,,,,,
Kelci Walkden,India,Smooth Sliky Salty,1-Feb-22,"$2,464 ",8,123.2,Delay Shipping,,,,,,
Rafaelita Blaksland,UK,Eclairs,27-Apr-22,"$1,379 ",70,68.95,needs Shipping,,,,,,
Gigi Bohling,USA,Smooth Sliky Salty,22-Jul-22,"$2,583 ",126,206.64,needs Shipping,,,,,,
Curtice Advani,New Zealand,Mint Chip Choco,26-Jan-22,"$3,220 ",265,161,needs Shipping,,,,,,
Curtice Advani,USA,Mint Chip Choco,24-Aug-22,"$4,802 ",296,384.16,needs Shipping,,,,,,
Madelene Upcott,New Zealand,Fruit & Nut Bars,18-Jan-22,"$5,677 ",21,283.85,Delay Shipping,,,,,,
Karlen McCaffrey,India,85% Dark Bars,30-Mar-22,$945 ,83,47.25,needs Shipping,,,,,,
Ches Bonnell,Australia,Caramel Stuffed Bars,17-Jan-22,"$8,757 ",162,437.85,needs Shipping,,,,,,
Kelci Walkden,USA,Fruit & Nut Bars,17-Feb-22,"$4,816 ",145,385.28,needs Shipping,,,,,,
Kelci Walkden,Canada,Peanut Butter Cubes,8-Apr-22,"$7,532 ",44,376.6,Delay Shipping,,,,,,
Gigi Bohling,Canada,Drinking Coco,6-Jul-22,"$3,549 ",82,177.45,needs Shipping,,,,,,
Husein Augar,India,Fruit & Nut Bars,4-Apr-22,"$4,340 ",226,217,needs Shipping,,,,,,
Jan Morforth,New Zealand,Organic Choco Syrup,2-Mar-22,"$1,799 ",207,89.95,needs Shipping,,,,,,
Gigi Bohling,New Zealand,Raspberry Choco,9-Aug-22,"$1,127 ",176,56.35,needs Shipping,,,,,,
Dennison Crosswaite,Australia,Milk Bars,9-Jun-22,"$10,038 ",286,501.9,needs Shipping,,,,,,
Ches Bonnell,UK,Caramel Stuffed Bars,2-Jun-22,"$2,926 ",300,146.3,needs Shipping,,,,,,
Van Tuxwell,USA,Fruit & Nut Bars,5-Jul-22,"$6,279 ",235,502.32,needs Shipping,,,,,,
Andria Kimpton,Canada,Eclairs,11-Aug-22,$308 ,125,15.4,needs Shipping,,,,,,
Madelene Upcott,India,Choco Coated Almonds,11-Feb-22,"$3,500 ",145,175,needs Shipping,,,,,,
Kelci Walkden,New Zealand,Spicy Special Slims,11-Aug-22,$658 ,65,32.9,needs Shipping,,,,,,
Roddy Speechley,Australia,Drinking Coco,12-May-22,"$12,565 ",102,628.25,needs Shipping,,,,,,
Wilone O'Kielt,USA,Milk Bars,15-Jul-22,"$5,012 ",93,400.96,needs Shipping,,,,,,
Andria Kimpton,India,Organic Choco Syrup,18-Jan-22,"$3,955 ",134,197.75,needs Shipping,,,,,,
Madelene Upcott,UK,Fruit & Nut Bars,5-Jan-22,"$8,512 ",189,425.6,needs Shipping,,,,,,
Curtice Advani,Australia,50% Dark Bites,29-Jun-22,$504 ,232,25.2,needs Shipping,,,,,,
Brien Boise,Canada,Raspberry Choco,14-Jun-22,"$2,800 ",45,140,Delay Shipping,,,,,,
Gunar Cockshoot,India,Mint Chip Choco,8-Aug-22,"$4,256 ",67,212.8,needs Shipping,,,,,,
Dennison Crosswaite,India,Mint Chip Choco,23-Mar-22,"$13,573 ",138,678.65,needs Shipping,,,,,,
Barr Faughny,India,Caramel Stuffed Bars,4-Jan-22,"$6,566 ",99,328.3,needs Shipping,,,,,,
Brien Boise,India,Milk Bars,22-Feb-22,"$13,503 ",251,675.15,needs Shipping,,,,,,
Beverie Moffet,UK,Spicy Special Slims,17-Feb-22,"$8,680 ",252,434,needs Shipping,,,,,,
Barr Faughny,USA,Almond Choco,3-Feb-22,$385 ,78,30.8,needs Shipping,,,,,,
Van Tuxwell,Canada,Raspberry Choco,17-Mar-22,"$1,267 ",130,63.35,needs Shipping,,,,,,
Wilone O'Kielt,Australia,Baker's Choco Chips,25-Jan-22,"$2,961 ",154,148.05,needs Shipping,,,,,,
Brien Boise,Australia,Milk Bars,27-Jul-22,"$1,981 ",52,99.05,needs Shipping,,,,,,
Husein Augar,Australia,Fruit & Nut Bars,28-Jan-22,"$7,959 ",53,397.95,needs Shipping,,,,,,
Madelene Upcott,Australia,Organic Choco Syrup,5-Jul-22,"$10,794 ",50,539.7,needs Shipping,,,,,,
Van Tuxwell,India,White Choc,15-Mar-22,"$1,897 ",44,94.85,Delay Shipping,,,,,,
Gunar Cockshoot,Canada,After Nines,4-Aug-22,"$2,744 ",200,137.2,needs Shipping,,,,,,
Jan Morforth,USA,Fruit & Nut Bars,27-Jun-22,"$4,382 ",361,350.56,needs Shipping,,,,,,
Jan Morforth,Canada,After Nines,13-Jul-22,"$4,515 ",172,225.75,needs Shipping,,,,,,
Barr Faughny,New Zealand,Manuka Honey Choco,24-Feb-22,"$5,474 ",239,273.7,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,85% Dark Bars,28-Jun-22,"$6,069 ",55,303.45,needs Shipping,,,,,,
Oby Sorrel,Australia,85% Dark Bars,30-Jun-22,"$6,944 ",27,347.2,Delay Shipping,,,,,,
Curtice Advani,Canada,Choco Coated Almonds,18-Aug-22,"$5,859 ",7,292.95,Delay Shipping,,,,,,
Kaine Padly,India,70% Dark Bites,24-Jan-22,"$12,173 ",301,608.65,needs Shipping,,,,,,
Beverie Moffet,USA,White Choc,11-Mar-22,"$5,292 ",134,423.36,needs Shipping,,,,,,
Ches Bonnell,New Zealand,After Nines,23-Jun-22,"$5,705 ",350,285.25,needs Shipping,,,,,,
Husein Augar,India,Spicy Special Slims,22-Aug-22,"$2,492 ",33,124.6,Delay Shipping,,,,,,
Gunar Cockshoot,Canada,50% Dark Bites,4-Jan-22,"$3,024 ",23,151.2,Delay Shipping,,,,,,
Curtice Advani,India,Milk Bars,5-Apr-22,"$3,437 ",201,171.85,needs Shipping,,,,,,
Beverie Moffet,India,Milk Bars,15-Apr-22,"$1,869 ",323,93.45,needs Shipping,,,,,,
Husein Augar,Australia,White Choc,11-May-22,"$3,171 ",220,158.55,needs Shipping,,,,,,
Andria Kimpton,Canada,Manuka Honey Choco,21-Jul-22,"$4,858 ",488,242.9,needs Shipping,,,,,,
Jan Morforth,New Zealand,Orange Choco,11-Feb-22,"$1,225 ",84,61.25,needs Shipping,,,,,,
Andria Kimpton,Canada,Smooth Sliky Salty,8-Jul-22,"$1,155 ",79,57.75,needs Shipping,,,,,,
Gunar Cockshoot,UK,Raspberry Choco,11-Aug-22,"$6,811 ",344,340.55,needs Shipping,,,,,,
Husein Augar,New Zealand,After Nines,4-Aug-22,"$6,433 ",7,321.65,Delay Shipping,,,,,,
Andria Kimpton,New Zealand,Orange Choco,14-Jun-22,"$8,169 ",88,408.45,needs Shipping,,,,,,
Dennison Crosswaite,UK,Baker's Choco Chips,17-Jan-22,"$2,275 ",275,113.75,needs Shipping,,,,,,
Jehu Rudeforth,Canada,Orange Choco,23-Jun-22,"$3,857 ",512,192.85,needs Shipping,,,,,,
Jehu Rudeforth,UK,Smooth Sliky Salty,24-Aug-22,"$1,463 ",113,73.15,needs Shipping,,,,,,
Andria Kimpton,UK,Caramel Stuffed Bars,7-Jun-22,"$7,924 ",275,396.2,needs Shipping,,,,,,
Jan Morforth,UK,White Choc,22-Jun-22,"$8,799 ",47,439.95,Delay Shipping,,,,,,
Dotty Strutley,USA,Fruit & Nut Bars,13-Jul-22,"$2,898 ",276,231.84,needs Shipping,,,,,,
Kelci Walkden,UK,Choco Coated Almonds,24-May-22,"$9,506 ",212,475.3,needs Shipping,,,,,,
Gunar Cockshoot,New Zealand,After Nines,9-Aug-22,"$7,175 ",145,358.75,needs Shipping,,,,,,
Kaine Padly,Canada,85% Dark Bars,6-Apr-22,"$1,729 ",31,86.45,Delay Shipping,,,,,,
Jan Morforth,New Zealand,Manuka Honey Choco,28-Jul-22,"$1,589 ",271,79.45,needs Shipping,,,,,,
Gunar Cockshoot,New Zealand,Raspberry Choco,24-Aug-22,$630 ,52,31.5,needs Shipping,,,,,,
Van Tuxwell,Australia,99% Dark & Pure,17-Jan-22,$112 ,128,5.6,needs Shipping,,,,,,
Curtice Advani,USA,Drinking Coco,7-Feb-22,"$5,187 ",142,414.96,needs Shipping,,,,,,
Brien Boise,Australia,Spicy Special Slims,9-May-22,"$6,223 ",256,311.15,needs Shipping,,,,,,
Mallorie Waber,New Zealand,85% Dark Bars,6-Jun-22,"$7,714 ",106,385.7,needs Shipping,,,,,,
Wilone O'Kielt,USA,Choco Coated Almonds,6-Jun-22,"$9,457 ",6,756.56,Delay Shipping,,,,,,
Beverie Moffet,New Zealand,Organic Choco Syrup,24-May-22,"$6,678 ",226,333.9,needs Shipping,,,,,,
Gunar Cockshoot,UK,50% Dark Bites,13-Jan-22,"$2,107 ",121,105.35,needs Shipping,,,,,,
Marney O'Breen,USA,Raspberry Choco,23-May-22,"$6,069 ",151,485.52,needs Shipping,,,,,,
Jehu Rudeforth,UK,White Choc,29-Jun-22,"$1,862 ",284,93.1,needs Shipping,,,,,,
Jehu Rudeforth,New Zealand,85% Dark Bars,11-Mar-22,"$6,972 ",89,348.6,needs Shipping,,,,,,
Dotty Strutley,USA,85% Dark Bars,25-Apr-22,"$10,220 ",508,817.6,needs Shipping,,,,,,
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30-May-22,"$3,969 ",243,198.45,needs Shipping,,,,,,
Curtice Advani,India,Manuka Honey Choco,23-May-22,"$1,547 ",170,77.35,needs Shipping,,,,,,
Mallorie Waber,USA,Peanut Butter Cubes,23-May-22,"$1,162 ",18,92.96,Delay Shipping,,,,,,
Van Tuxwell,Canada,Peanut Butter Cubes,24-Jun-22,"$6,342 ",282,317.1,needs Shipping,,,,,,
Kelci Walkden,New Zealand,Smooth Sliky Salty,11-Mar-22,"$10,633 ",277,531.65,needs Shipping,,,,,,
Rafaelita Blaksland,USA,Smooth Sliky Salty,27-Jul-22,"$15,057 ",212,1204.56,needs Shipping,,,,,,
Rafaelita Blaksland,USA,White Choc,16-Aug-22,"$4,704 ",126,376.32,needs Shipping,,,,,,
Roddy Speechley,Canada,Smooth Sliky Salty,7-Mar-22,"$9,338 ",11,466.9,Delay Shipping,,,,,,
Curtice Advani,New Zealand,After Nines,5-Apr-22,"$7,959 ",30,397.95,Delay Shipping,,,,,,
Camilla Castle,India,85% Dark Bars,4-May-22,"$9,023 ",51,451.15,needs Shipping,,,,,,
Ches Bonnell,USA,Choco Coated Almonds,4-Jan-22,"$14,525 ",92,1162,needs Shipping,,,,,,
Marney O'Breen,Australia,Baker's Choco Chips,13-Jan-22,"$5,810 ",101,290.5,needs Shipping,,,,,,
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11-Jul-22,"$6,426 ",98,321.3,needs Shipping,,,,,,
Kaine Padly,Australia,Mint Chip Choco,17-May-22,"$4,403 ",159,220.15,needs Shipping,,,,,,
Camilla Castle,New Zealand,Peanut Butter Cubes,21-Jul-22,"$1,582 ",62,79.1,needs Shipping,,,,,,
Curtice Advani,Canada,Organic Choco Syrup,22-Feb-22,$791 ,22,39.55,Delay Shipping,,,,,,
Jan Morforth,India,99% Dark & Pure,23-May-22,"$9,100 ",187,455,needs Shipping,,,,,,
Rafaelita Blaksland,Canada,Drinking Coco,12-Jul-22,"$9,884 ",200,494.2,needs Shipping,,,,,,
Jan Morforth,UK,Orange Choco,15-Jun-22,"$3,780 ",201,189,needs Shipping,,,,,,
Barr Faughny,New Zealand,50% Dark Bites,23-Jun-22,"$4,557 ",308,227.85,needs Shipping,,,,,,
Curtice Advani,Australia,Eclairs,25-Mar-22,"$5,796 ",55,289.8,needs Shipping,,,,,,
Jan Morforth,India,Caramel Stuffed Bars,4-Jul-22,$84 ,153,4.2,needs Shipping,,,,,,
Andria Kimpton,UK,White Choc,12-May-22,"$9,037 ",101,451.85,needs Shipping,,,,,,
Camilla Castle,New Zealand,Raspberry Choco,4-Apr-22,"$4,746 ",137,237.3,needs Shipping,,,,,,
Madelene Upcott,Australia,Orange Choco,15-Apr-22,"$6,713 ",398,335.65,needs Shipping,,,,,,
Roddy Speechley,Canada,Eclairs,8-Mar-22,"$6,237 ",88,311.85,needs Shipping,,,,,,
Karlen McCaffrey,India,White Choc,17-Jan-22,"$7,483 ",232,374.15,needs Shipping,,,,,,
Wilone O'Kielt,India,Mint Chip Choco,22-Aug-22,"$1,309 ",51,65.45,needs Shipping,,,,,,
Andria Kimpton,UK,99% Dark & Pure,25-Jul-22,"$1,155 ",66,57.75,needs Shipping,,,,,,
Marney O'Breen,UK,50% Dark Bites,14-Jun-22,"$2,989 ",124,149.45,needs Shipping,,,,,,
Ches Bonnell,India,Choco Coated Almonds,5-Apr-22,"$9,625 ",78,481.25,needs Shipping,,,,,,
Madelene Upcott,UK,Raspberry Choco,26-Aug-22,"$7,357 ",341,367.85,needs Shipping,,,,,,
